,employee_id,name,department,age,salary,years_at_company,remote,salary_by_year
13,14,Employee_14,IT,37,47159,2,True,23579.5
2,3,Employee_3,HR,45,40627,2,True,20313.5
7,8,Employee_8,HR,54,73001,4,True,18250.25
10,11,Employee_11,IT,46,32612,2,True,16306.0
1,2,Employee_2,Marketing,23,51777,4,False,12944.25
4,5,Employee_5,IT,59,73323,6,False,12220.5
5,6,Employee_6,Marketing,23,73021,6,True,12170.166666666666
16,17,Employee_17,Marketing,58,44541,4,False,11135.25
14,15,Employee_15,Marketing,36,74974,10,False,7497.4
18,19,Employee_19,Marketing,42,56531,8,True,7066.375
8,9,Employee_9,IT,33,41016,6,False,6836.0
12,13,Employee_13,IT,49,78555,12,False,6546.25
0,1,Employee_1,IT,43,44502,8,True,5562.75
11,12,Employee_12,IT,48,53483,10,False,5348.3
15,16,Employee_16,HR,24,70994,14,False,5071.0
17,18,Employee_18,Marketing,28,65920,14,True,4708.571428571428
9,10,Employee_10,Finance,43,53897,13,True,4145.923076923077
6,7,Employee_7,HR,42,38433,10,False,3843.3
3,4,Employee_4,IT,51,38792,14,False,2770.8571428571427
19,20,Employee_20,IT,30,31585,14,True,2256.0714285714284
